探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
C4E3F5G6G5G4H5C6D3C3F3G3G2H1F7
12,4.25,33582716,7905535.78,298055,866009,217051,22378,4795,8234381,-7.41,B3
12,3.06,24313675,7932683.52,194447,696963,180781,14383,3738,6708820,8.96,B1

C4C5B6C3C2B4A3B5F6A7A5C1B3B2D2G7C7A4A2D1E6B1A6E3D3F5G6B7F2H7
8,0.02,181593,8647285.71,6570,3220,935,12,0,21892,33.13,A1
8,0.02,167713,8827000.00,9390,5503,1615,12,0,57013,-32.92,E2
10,0.15,1264463,8210798.70,34526,26397,6568,24,2,170662,38.15,A1
10,0.20,1678701,8521324.87,34895,75144,18346,189,38,712246,-38.06,E2
12,1.31,10381557,7943042.85,207601,243791,52754,1813,310,1618204,39.70,A1
12,1.56,13036438,8351337.60,112359,674878,127222,13478,2331,5886460,-39.88,E2

C4C3D3C5B5A5B2A1C6E2D2F4C2B1G4D7A6F5F1G3F6G5E3F3E8B4H2A7B3G7
8,0.10,816255,8502656.25,37242,9541,3562,15,3,123518,-8.99,F2
8,0.06,530315,8417698.41,14345,6394,1707,14,0,72155,14.39,C1
10,0.54,4433785,8287448.60,150057,77974,22128,223,70,850984,-11.04,F2
10,0.47,3906757,8312248.94,59924,59782,15911,106,24,638777,13.82,A2
12,2.06,16270713,7913770.91,490012,421867,109748,5475,1371,3620777,-11.59,F2
12,2.18,17562262,8056083.49,215621,352715,88686,3705,947,3213575,14.86,C1

C4E3F5G6F3E6F7D7F2B4G5G4B3E2D3E8E7C2B5A4D2C5B2F1F4D1H7F6H3H4
8,0.12,1007263,8536127.12,38718,14858,4331,20,3,142723,3.72,C3
8,0.10,905917,8627780.95,28160,16130,5500,22,5,209722,-1.92,D6
10,0.93,7613808,8222254.86,181676,153966,37042,740,132,1263799,2.88,F8
10,0.41,3403682,8261364.08,34002,110086,34687,382,101,1070661,-0.34,D8
12,6.24,48877023,7830346.52,951369,1243491,279539,45126,9618,9081479,0.66,C3
12,6.25,51616748,8262645.75,316511,1863952,534346,99988,26242,18755563,-0.13,D6

D3E3F2C5F6E6B6C3B2D2E1D1E7A1C4F3G2B4A5G7C2C1F5D8B3C6B7A4E8E2
8,0.01,102851,8570916.67,3340,3464,554,13,0,35311,-9.14,C8
8,0.04,321468,8242769.23,16083,5111,610,10,0,24003,11.52,A6
10,0.10,898382,8722155.34,10923,37276,6194,74,6,369164,-11.75,C8
10,0.35,2844985,8082343.75,119609,54016,8224,91,13,284327,13.20,F1
12,0.46,3935881,8593626.64,28278,200250,19768,1332,109,1722519,-12.15,C8
12,2.99,23526431,7873638.22,739809,541776,78836,8815,1127,3090382,13.51,F1

F5D6C4D3C5B6C3B3B5F6D7C7E3E7E2G5C2B2A3B4D8B1F3F2F8G3G4F1D1F4
8,0.13,1087498,8115656.72,32233,11220,2861,16,0,89366,26.66,A2
8,0.01,128913,9208071.43,3364,4989,1372,13,0,54109,-28.81,D2
10,1.01,8081245,7977537.02,216930,121290,23801,437,62,862109,27.81,A2
10,0.09,802610,8630215.05,9413,41470,8968,55,6,364352,-31.69,D2
12,6.13,47366991,7724558.22,1484077,972002,159482,27600,3462,5668456,28.89,A2
12,0.48,4063366,8395384.30,33536,231064,45533,1669,243,1847426,-32.62,A4

D3C3E6D6C4D2C5B5E7F4A5F7G3E8F6D7E2G4H4G5C7F3C2G2H2B3E3D1G7C6
8,0.08,654988,8506337.66,25441,11758,2609,15,0,109198,-2.85,H1
8,0.09,787347,8376031.91,26465,14409,3785,16,4,155582,1.06,B4
10,0.58,4689095,8112621.11,148699,107580,27281,372,66,878843,-2.25,B6
10,0.30,2285850,7670637.58,68136,49839,14705,80,18,394087,3.39,H3
12,4.11,31894578,7762126.55,813675,937418,224726,25996,6135,7134538,-2.28,B6
12,2.22,16530859,7439630.51,271817,511666,120441,7652,1483,3795129,4.59,B4

C4E3F2C3D3E2B2B3C2E6B4B1C1A1A3A5F7C6F5D2A4B5C5A2B7G5D6E7B6G7
8,0.03,266611,8600354.84,8285,4835,1017,13,0,45756,-9.57,D1
8,0.03,286439,8424676.47,9885,6874,1847,15,1,69082,9.16,E1
10,0.22,1803600,8311520.74,40293,43527,10120,65,8,354852,-11.60,D1
10,0.20,1594221,8133780.61,24670,54712,13930,92,14,481394,11.97,E1
