探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
C4E3F5G6G5G4H5C6D3C3F3G3G2H1F7
10,0.28,1559391,5609320.14,1541,47084,11020,116,19,366457,18.76,A1
10,0.17,1046596,6014919.54,3058,43631,8065,95,11,377257,-19.67,H6
12,1.50,8314909,5546970.65,2646,316462,61537,2933,411,2091736,20.22,A1
12,1.12,6683082,5945802.49,3599,341882,55233,3559,578,2613123,-18.98,H6

D3E3F6C2F3F5C3F7G5C4B1C1B5G3B2A2A1B4A3A6D2G6G7H7F2E6E7F1C6G4
8,0.11,753693,6729401.79,1687,8943,2234,23,0,105096,48.93,F4
8,0.04,280982,7024550.00,938,10192,2104,36,2,129646,-48.10,C5
10,0.71,4595547,6490885.59,2497,80194,13271,248,28,732269,47.26,F4
10,0.17,1160785,6748750.00,735,57388,8712,162,21,553748,-47.85,E2
12,3.49,21509921,6165067.64,2524,496701,51525,7507,623,3828596,46.95,B3
12,2.21,14787414,6700232.90,10050,807398,117905,19418,2703,7123993,-47.61,C5

C4C3C2C5C6D6E6B2D3C1B3C7D1A3A4F4B7A5A2A7F5E2F3F1D2B6C8D8F2G2
8,0.01,76797,6399750.00,381,3217,1452,26,1,28564,-7.13,E3
8,0.01,90079,6434214.29,138,2335,350,20,0,17356,13.14,A1
10,0.05,241945,5259673.91,323,13011,3094,43,0,94150,-9.60,B1
10,0.10,581267,5643368.93,3447,19552,4314,64,1,122533,12.87,B8
12,0.20,1077360,5524923.08,16464,70819,11897,240,10,413501,-10.74,B1
12,0.50,2646878,5262182.90,14766,113653,16582,498,39,644890,9.08,B8

D3C3E6F6C4E7F7E3F5B4F3G5E8F4G6C6C2G7A4D7C8C1B1C7E2D6F8A1B6B5
8,0.10,648126,6546727.27,3274,13064,4821,46,3,163259,-3.08,C5
8,0.07,440142,6569283.58,2505,8619,3249,28,0,109326,3.53,D2
10,0.83,5261077,6315818.73,13789,141050,37359,694,120,1433224,-2.83,G4
10,0.33,2023468,6187975.54,3229,59567,7414,174,5,516218,3.80,C5
12,4.97,29727676,5977815.40,33888,1001329,184233,29428,3766,8450616,-3.55,D2
12,3.91,20937368,5356195.45,14821,820439,135996,19737,2489,6543883,3.15,G4

C4E3F4G3E6C5C6D6E2E7F7B5E8G8G7D3B4F1G5B6A5C3H2F3C7A4E1F2F6A6
8,0.05,276658,5646081.63,1582,7624,2155,26,0,95284,-16.91,B7
8,0.11,593233,5544233.64,1909,8870,2588,35,0,104810,20.88,D2
10,0.20,1210604,6053020.00,4767,43157,8709,97,5,415209,-18.76,D2
10,0.47,2548326,5387581.40,2849,62212,13334,140,18,550062,21.19,D1
12,1.23,7194492,5868264.27,4990,340028,33906,3419,244,2749406,-20.59,D2
12,2.57,13370733,5196553.83,6391,431842,99063,5474,879,3246639,23.20,F5

D3E3F3E2F2G4F6C2C3G2H1C4D1D2C1C5F1G3G5E6D6G7G6E7F7G8B6H4B1F4
8,0.09,529256,6154139.53,2047,9928,3238,29,2,120414,9.97,B2
8,0.04,193437,5228027.03,699,5957,1905,24,0,59316,-7.04,H3
10,0.42,2209993,5287064.59,2145,55668,11241,122,11,521035,10.36,F5
10,0.21,1109818,5335663.46,4265,45652,15981,117,26,401342,-7.69,G1
12,3.67,19207959,5239486.91,10296,645708,125037,12807,2056,5051743,9.62,B2
12,2.34,12384427,5294752.89,15819,554675,155061,9161,2210,4558922,-8.68,H3

F5F6D3G5G7C2H5D6C3C4B2E6B1C1B3G6F7B5D1F8E8D8E7H4G4H6E3A1B4C5
8,0.01,77830,5559285.71,419,2657,592,18,0,22608,-5.62,D2
8,0.03,164362,4834176.47,955,4395,1396,29,0,40885,4.10,F4
10,0.07,379461,5059480.00,290,17202,2298,26,0,114470,-3.38,D2
10,0.12,652226,5435216.67,762,27678,6252,55,6,198163,2.25,F4
12,0.43,2150382,5047845.07,406,113846,12351,430,31,669726,-2.37,D2
12,0.85,4292979,5032800.70,3910,215744,46186,1473,262,1373246,2.07,F4

F5D6C5F6F7F4F3B6C4E3C7G7H7G5A5F8C3G2H1B8G4G3D7C6H2B3B7E6H4B5
8,0.04,232336,5957333.33,780,6661,2471,24,0,65166,6.22,B4
8,0.03,189813,6327100.00,630,5643,1174,21,0,49071,-4.65,D3
10,0.27,1564632,5882075.19,3450,58397,16473,157,29,487985,6.77,B4
10,0.21,1262688,5956075.47,1539,44453,7220,91,3,331361,-4.12,D3
12,1.63,8698735,5336647.24,5202,421799,83787,5367,945,2956718,6.04,B4
12,1.45,7761681,5360276.93,2760,323826,45730,3289,358,2125896,-3.78,D3

D3C5B6C3C6D2E3F3G2B5E6H1B2C4F2E7E8F5G3F4E2B7A5G4C2G1C7A1B4D7
8,0.10,595729,5783776.70,1428,7535,1437,30,0,97505,-2.85,D6
8,0.13,852658,6363119.40,3781,13561,7258,57,8,240190,4.58,B1
10,0.67,3953620,5945293.23,2813,70440,10681,192,23,730444,-1.52,D6
10,1.04,5992625,5740062.26,8057,139326,50043,678,171,1839250,2.99,B1
12,4.34,25381790,5851035.04,14491,579291,102036,10035,1168,5082938,-2.57,D6
12,6.16,33905681,5508640.29,55739,1063321,260644,33743,6691,11188184,3.27,F6

E6F6F5D6C5F4D7B6B4C7B7C8E3A7E7D3C4F3G7E8D8C6C3F7G8A4G3D2A6E2
8,0.02,127831,5810500.00,314,3663,544,14,0,26300,14.28,A8
8,0.01,68044,6185818.18,385,3517,1016,11,0,26247,-16.71,F8
10,0.14,678382,4988102.94,301,25813,3496,42,1,154946,14.64,A8
10,0.08,414486,5382935.06,1171,24388,4983,44,10,165727,-15.28,F8
12,0.69,3239061,4728556.20,964,153005,19436,747,55,783441,14.52,A8
12,0.93,4845138,5198645.92,3138,340223,64396,3615,634,2022259,-15.34,G5

